IncidentID,County,RdwyNumber,Street,RoadwayName,StreetSfx,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,Section,Before/After Construction
31743978,HARDIN,US0031W,,DIXIE,AVE,37.73386925,-85.88703677,19.897,6/3/2023,530,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT IN INTERSECTION - FIRST EVENT COLLISION 09 - 32,SINGLE VEHICLE,STRAIGHT & LEVEL,DAWN,KY 3005 to Crutz Lane,After
31789324,HARDIN,US0031W,,DIXIE,AVE,37.73445037,-85.88730855,19.965,6/7/2023,1350,2,2,0,0,RAINING,WET,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31789366,HARDIN,US0031W,,DIXIE,AVE,37.74044007,-85.89002195,20.376,6/16/2023,1007,3,3,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31789375,HARDIN,US0031W,,DIXIE,AVE,37.74281014,-85.89112557,20.546,6/17/2023,1526,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31807907,HARDIN,US0031W,,DIXIE,AVE,37.74275772,-85.89135262,20.553,6/17/2023,1324,3,3,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31920806,HARDIN,US0031W,,DIXIE,AVE,37.74250765,-85.89127954,20.535,6/18/2023,2204,2,1,1,0,CLOUDY,DRY,FALSE,COLLISION WITH PEDESTRIAN NON - INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,KY 3005 to Crutz Lane,After
31870745,HARDIN,US0031W,,DIXIE,AVE,37.73632039,-85.88827905,20.139,6/24/2023,1457,2,1,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31889568,HARDIN,US0031W,,DIXIE,AVE,37.73367109,-85.88672215,19.88,6/29/2023,1352,2,2,0,0,CLOUDY,WET,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31889577,HARDIN,US0031W,,DIXIE,AVE,37.73141062,-85.88580754,19.689,7/5/2023,1432,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31950559,HARDIN,US0031W,,DIXIE,AVE,37.73291676,-85.88654844,19.833,7/7/2023,1318,1,1,0,1,CLEAR,DRY,FALSE,OCCUPANT FELL FROM MOVING VEHICLE,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31935680,HARDIN,US0031W,,DIXIE,AVE,37.730297,-85.88525663,19.639,7/7/2023,1125,2,1,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
32181595,HARDIN,US0031W,,DIXIE,AVE,37.74559845,-85.89269241,20.761,7/7/2023,1201,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31920336,HARDIN,US0031W,,DIXIE,AVE,37.73449737,-85.8873422,19.97,7/13/2023,1258,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
32181621,HARDIN,US0031W,,DIXIE,AVE,37.73651885,-85.8883332,20.15,7/14/2023,1424,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
32181540,HARDIN,US0031W,,DIXIE,AVE,37.73430705,-85.8872971,19.952,7/22/2023,1353,2,2,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
32181490,HARDIN,US0031W,,DIXIE,AVE,37.73059963,-85.88539684,19.661,7/24/2023,803,2,2,0,0,CLOUDY,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
32180986,HARDIN,US0031W,,DIXIE,AVE,37.73131668,-85.88576354,19.715,7/26/2023,1300,2,2,0,0,CLEAR,DRY,TRUE,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31994506,HARDIN,US0031W,,DIXIE,AVE,37.74345409,-85.89149857,20.569,7/27/2023,1720,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & GRADE,DAYLIGHT,KY 3005 to Crutz Lane,After
32021459,HARDIN,US0031W,,DIXIE,AVE,37.7282661,-85.88424595,19.488,7/30/2023,2341,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,KY 3005 to Crutz Lane,After
31994505,HARDIN,US0031W,,DIXIE,AVE,37.73080579,-85.88548198,19.676,7/31/2023,1600,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
31994508,HARDIN,US0031W,,DIXIE,AVE,37.73171766,-85.88595214,19.745,8/1/2023,1723,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
32183484,HARDIN,US0031W,,DIXIE,AVE,37.73131299,-85.88547406,19.709,8/2/2023,2253,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,KY 3005 to Crutz Lane,After
32008772,HARDIN,US0031W,,DIXIE,AVE,37.73319658,-85.88669192,19.852,8/3/2023,1624,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
32180941,HARDIN,US0031W,,DIXIE,AVE,37.73718039,-85.88837987,20.179,8/7/2023,1401,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,KY 3005 to Crutz Lane,After
